category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
C,1,+01:37.8,,0,00dd00,,,Max Lab,fr,1468358,,0
C,1,+01:48.1,,0,00dd00,,,Peter Karwowski ,us,430883,,0
C,1,+01:56.7,,0,00dd00,,,Lars Albrecht1744,de,1071509,,0
C,1,+02:07.7,V I E T V E L O,2231,ff0000,ffe600,ff0000,Thuan  VietVello 3294,us,550262,,0
C,1,+02:16.4,,0,00dd00,,,Sean Courser,us,992549,,0
C,1,+02:37.1,BZR cycling team,35,f3f300,111111,dd4b39,kevin van raemdonck ,be,275927,,0
C,1,+02:37.6,TeamPL,25,ffffff,ff1800,ff0000,Robert Gluszczynski,pl,894318,,0
C,1,+03:02.2,,0,00dd00,,,Jonathan Roberts,gb,1029841,,0
C,1,+03:07.0,,0,00dd00,,,Jon Kollari,ca,58601,,0
C,1,+03:20.8,,0,00dd00,,,Meinte M van der Schaaf,nl,1529259,,0
D,1,00:08:50.6,,0,00dd00,,,Jordan Seigel,ca,472673,,0
D,1,+00:22.3,,0,00dd00,,,Robin Andersson,se,880343,,0
D,1,+00:28.9,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Sunghwa Lee,kr,793522,,0
D,1,+00:28.9,,0,00dd00,,,Curtis Linton,ca,995853,,0
D,1,+00:44.4,,0,00dd00,,,M H,gb-sct,701736,,0
D,1,+01:16.2,DBR,1986,ffffff,eb7b2a,ffffff,Mads Andersen [DBR],dk,235256,,0
D,1,+01:29.4,,0,00dd00,,,Andrei Rumiantcev,ru,1136512,,0
D,1,+01:38.1,,0,00dd00,,,Deborah Michaliszyn,ca,861559,,0
D,1,+01:57.5,,0,00dd00,,,Nicolas VIVIER,fr,824486,,0
D,1,+02:03.7,,0,00dd00,,,BTW WTF,dk,414840,,0
D,1,+03:01.7,BRT,4,ffffff,050505,ff8100,Paul Wadeson (BRT D) ,gb,906678,,0
D,1,+03:19.5,REVO,2672,fc00e3,000000,fc00e3,Sara Perrin [REVO],us,420144,,0
